"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","521,565","12%","19,991,024","",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","336,238","7.5%","","271,752,000",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","176,599","3.9%","1,744,714","",""
"CPRX","CATALYST PHARMACEUTICALS INC","COM","14888U101","171,687","3.8%","10,355,099","",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","164,112","3.7%","","101,042,000",""
"VTRS","VIATRIS INC","COM","92556V106","162,924","3.6%","16,935,997","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","131,694","2.9%","10,594,914","",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","117,283","2.6%","","144,516,000",""
"","IONIS PHARMACEUTICALS INC","NOTE 4/0","462222AD2","116,871","2.6%","","127,800,000",""
"AMED","AMEDISYS INC","COM","023436108","109,087","2.4%","1,483,179","",""
"","BROOKDALE SR LIVING INC","NOTE 2.000%10/1","112463AC8","104,789","2.3%","","145,955,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.500% 2/1","45845PAC2","101,202","2.3%","","98,354,000",""
"","ACCOLADE INC","NOTE 0.500% 4/0","00437EAB8","96,642","2.2%","","122,598,000",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","95,989","2.1%","","51,793,000",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","94,378","2.1%","","103,200,000",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","80,627","1.8%","5,218,638","",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","76,744","1.7%","16,941,357","",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","75,026","1.7%","","81,600,000",""
"SPRY","ARS PHARMACEUTICALS INC","COM","82835W108","72,117","1.6%","11,077,927","",""
"CNC","CENTENE CORP DEL","COM","15135B101","67,950","1.5%","1,075,000","",""
"SILK","SILK RD MED INC","COM","82710M100","67,524","1.5%","1,725,640","",""
"","GUARDANT HEALTH INC","NOTE 11/1","40131MAB5","59,608","1.3%","","89,036,000",""
"AMLX","AMYLYX PHARMACEUTICALS INC","COM","03237H101","58,220","1.3%","1,984,333","",""
