"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","368,253","7.7%","19,341,024","",""
"VTRS","VIATRIS INC","COM","92556V106","281,072","5.9%","20,774,000","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","250,114","5.2%","10,225,445","",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","242,436","5.1%","","204,700,000",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","153,337","3.2%","","163,385,000",""
"","AERIE PHARMACEUTICALS INC","NOTE 1.500%10/0","00771VAB4","130,154","2.7%","","157,390,000",""
"CMAX","CAREMAX INC","COM CL A","14171W103","128,861","2.7%","16,778,750","",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","117,360","2.5%","1,377,945","",""
"","ENVISTA HOLDINGS CORPORATION","NOTE 2.375% 6/0","29415FAB0","116,547","2.4%","","52,500,000",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","115,754","2.4%","","45,000,000",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","105,335","2.2%","9,112,019","",""
"","NUVASIVE INC","NOTE 1.000% 6/0","670704AL9","96,617","2.0%","","96,966,000",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","90,486","1.9%","","81,600,000",""
"CNC","CENTENE CORP DEL","COM","15135B101","82,713","1.7%","1,003,800","",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","80,473","1.7%","","97,816,000",""
"ISEE","IVERIC BIO INC","COM","46583P102","79,606","1.7%","4,761,138","",""
"ORGO","ORGANOGENESIS HLDGS INC","COM","68621F102","78,142","1.6%","8,456,876","",""
"","INSULET CORP","NOTE 0.375% 9/0","45784PAK7","76,356","1.6%","","57,581,000",""
"LUNG","PULMONX CORP","COM","745848101","75,905","1.6%","2,366,867","",""
"","NUVASIVE INC","NOTE 0.375% 3/1","670704AJ4","74,729","1.6%","","77,859,000",""
"","NEVRO CORP","NOTE 2.750% 4/0","64157FAC7","68,194","1.4%","","61,000,000",""
"SILK","SILK RD MED INC","COM","82710M100","64,647","1.4%","1,517,181","",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","62,908","1.3%","5,830,249","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","62,292","1.3%","13,966,824","",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","60,098","1.3%","3,933,137","",""
