"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","436,140","8.5%","19,341,024","",""
"VTRS","VIATRIS INC","COM","92556V106","255,065","5.0%","18,824,000","",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","199,645","3.9%","","163,385,000",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","188,737","3.7%","8,103,792","",""
"CMAX","CAREMAX INC","COM CL A","14171W103","162,083","3.2%","16,778,750","",""
"","AERIE PHARMACEUTICALS INC","NOTE 1.500%10/0","00771VAB4","143,842","2.8%","","157,390,000",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","135,236","2.6%","","45,000,000",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","129,642","2.5%","","108,000,000",""
"","BRIDGEBIO PHARMA INC","NOTE 2.500% 3/1","10806XAB8","110,499","2.2%","","80,000,000",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","109,569","2.1%","1,142,415","",""
"","ENVISTA HOLDINGS CORPORATION","NOTE 2.375% 6/0","29415FAB0","109,205","2.1%","","52,500,000",""
"ORGO","ORGANOGENESIS HLDGS INC","COM","68621F102","106,267","2.1%","7,462,543","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","105,110","2.1%","13,848,488","",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","101,963","2.0%","9,112,019","",""
"","NUVASIVE INC","NOTE 0.01 6/0","670704AL9","98,794","1.9%","","96,966,000",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","87,723","1.7%","","81,600,000",""
"","INSULET CORP","NOTE 0.00375 9/0","45784PAK7","80,407","1.6%","","57,581,000",""
"ISEE","IVERIC BIO INC","COM","46583P102","78,987","1.5%","4,863,725","",""
"LUNG","PULMONX CORP","COM","745848101","73,035","1.4%","2,029,887","",""
