"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","595,332","12%","19,991,024","",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","312,639","6.5%","","271,752,000",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","190,842","4.0%","","241,873,000",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","180,678","3.7%","1,512,714","",""
"","SAREPTA THERAPEUTICS INC","DBCV 1.500%11/1","803607AB6","165,397","3.4%","88,657,000","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","146,589","3.0%","7,626,914","",""
"","IONIS PHARMACEUTICALS INC","NOTE 4/0","462222AD2","118,341","2.4%","","127,800,000",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","114,624","2.4%","","144,516,000",""
"","BROOKDALE SR LIVING INC","NOTE 2.000%10/1","112463AC8","112,249","2.3%","","145,955,000",""
"VTRS","VIATRIS INC","COM","92556V106","111,300","2.3%","10,000,000","",""
"CPRX","CATALYST PHARMACEUTICALS INC","COM","14888U101","109,450","2.3%","5,884,448","",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","108,055","2.2%","","84,913,000",""
"AMLX","AMYLYX PHARMACEUTICALS INC","COM","03237H101","99,506","2.1%","2,693,000","",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","95,820","2.0%","","102,700,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.500% 2/1","45845PAC2","95,235","2.0%","","98,354,000",""
"","NUVASIVE INC","NOTE 1.000% 6/0","670704AL9","95,183","2.0%","","96,966,000",""
"AMED","AMEDISYS INC","COM","023436108","94,908","2.0%","1,136,080","",""
"SPRY","ARS PHARMACEUTICALS INC","COM","82835W108","94,494","2.0%","11,077,927","",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","79,433","1.6%","","51,885,000",""
"","OAK STR HEALTH INC","NOTE 3/1","67181AAB3","75,994","1.6%","","100,000,000",""
"SILK","SILK RD MED INC","COM","82710M100","73,812","1.5%","1,396,640","",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","73,553","1.5%","","81,600,000",""
"ISEE","IVERIC BIO INC","COM","46583P102","73,326","1.5%","3,424,852","",""
"","ACCOLADE INC","NOTE 0.500% 4/0","00437EAB8","73,303","1.5%","","105,000,000",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","69,967","1.4%","16,941,357","",""
"CMAX","CAREMAX INC","COM CL A","14171W103","57,892","1.2%","15,861,090","",""
"","NANOSTRING TECHNOLOGIES INC","NOTE 2.625% 3/0","63009RAD1","56,746","1.2%","","70,204,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","56,418","1.2%","","57,791,000",""
"","GUARDANT HEALTH INC","NOTE 11/1","40131MAB5","55,784","1.2%","","89,036,000",""
"CNC","CENTENE CORP DEL","COM","15135B101","46,335","1.0%","565,000","",""
"HLVX","HILLEVAX INC","COM","43157M102","45,072","0.9%","2,694,101","",""
"PHR","PHREESIA INC","COM","71944F106","44,214","0.9%","1,366,329","",""
"","LIVONGO HEALTH INC","NOTE 0.875% 6/0","539183AA1","43,769","0.9%","","50,000,000",""
"","ALPHATEC HLDGS INC","NOTE 0.750% 8/0","02081GAB8","43,668","0.9%","","48,050,000",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","39,630","0.8%","2,032,335","",""
"EHAB","ENHABIT INC","COM","29332G102","39,427","0.8%","2,996,000","",""
