"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NUVL","NUVALENT INC","COM","670703107","375,990","7.5%","19,341,024","",""
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","355,849","7.1%","","271,752,000",""
"","AERIE PHARMACEUTICALS INC","NOTE 1.500%10/0","00771VAB4","170,826","3.4%","","174,372,000",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","162,218","3.2%","","206,873,000",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","160,665","3.2%","1,512,714","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","154,438","3.1%","8,223,536","",""
"","SAREPTA THERAPEUTICS INC","DBCV 1.500%11/1","803607AB6","148,264","3.0%","","88,657,000",""
"","IONIS PHARMACEUTICALS INC","NOTE 4/0","462222AD2","128,518","2.6%","","127,800,000",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","115,533","2.3%","","144,516,000",""
"SILK","SILK RD MED INC","COM","82710M100","114,092","2.3%","2,535,369","",""
"CMAX","CAREMAX INC","COM CL A","14171W103","112,455","2.2%","15,861,090","",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","99,115","2.0%","","51,885,000",""
"GILD","GILEAD SCIENCES INC","COM","375558103","94,851","1.9%","1,537,539","",""
"","NUVASIVE INC","NOTE 1.000% 6/0","670704AL9","93,716","1.9%","","96,966,000",""
"VTRS","VIATRIS INC","COM","92556V106","90,940","1.8%","10,673,700","",""
"BIIB","BIOGEN INC","COM","09062X103","88,110","1.8%","330,000","",""
"","ALPHATEC HLDGS INC","NOTE 0.750% 8/0","02081GAB8","81,430","1.6%","","100,000,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.500% 2/1","45845PAC2","81,098","1.6%","","78,500,000",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","80,771","1.6%","","81,600,000",""
"","ACCOLADE INC","NOTE 0.500% 4/0","00437EAB8","79,078","1.6%","","105,000,000",""
"ISEE","IVERIC BIO INC","COM","46583P102","76,139","1.5%","4,244,098","",""
"","AERIE PHARMACEUTICALS INC","COM","00771V108","73,456","1.5%","4,855,005","",""
