"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","324,465","6.7%","","271,752,000",""
"NUVL","NUVALENT INC","COM","670703107","262,264","5.4%","19,341,024","",""
"VTRS","VIATRIS INC","COM","92556V106","216,454","4.5%","20,673,700","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","201,160","4.1%","11,150,797","",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","196,199","4.0%","2,012,714","",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","163,025","3.4%","","206,873,000",""
"","AERIE PHARMACEUTICALS INC","NOTE 1.500%10/0","00771VAB4","133,036","2.7%","","157,390,000",""
"","IONIS PHARMACEUTICALS INC","NOTE 4/0","462222AD2","116,991","2.4%","","127,800,000",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","111,924","2.3%","","90,638,000",""
"","SAREPTA THERAPEUTICS INC","DBCV 1.500%11/1","803607AB6","111,766","2.3%","88,657,000","",""
"BIIB","BIOGEN INC","COM","09062X103","101,970","2.1%","500,000","","call"
"","ENVISTA HOLDINGS CORPORATION","NOTE 2.375% 6/0","29415FAB0","100,380","2.1%","","52,500,000",""
"SILK","SILK RD MED INC","COM","82710M100","97,412","2.0%","2,676,891","",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","97,174","2.0%","","144,516,000",""
"GILD","GILEAD SCIENCES INC","COM","375558103","95,969","2.0%","1,552,639","",""
"","NUVASIVE INC","NOTE 1.000% 6/0","670704AL9","93,615","1.9%","","96,966,000",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","84,967","1.8%","","81,600,000",""
"DCPH","DECIPHERA PHARMACEUTICALS IN","COM","24344T101","82,200","1.7%","6,250,964","",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","76,456","1.6%","","51,885,000",""
"","NUVASIVE INC","NOTE 0.375% 3/1","670704AJ4","71,655","1.5%","","80,000,000",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","70,460","1.5%","","75,000,000",""
"IMGN","IMMUNOGEN INC","COM","45253H101","67,592","1.4%","15,020,490","",""
"","INSULET CORP","NOTE 0.375% 9/0","45784PAK7","66,018","1.4%","","57,581,000",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","63,137","1.3%","3,244,434","",""
"DAWN","DAY ONE BIOPHARMACEUTICALS I","COM","23954D109","62,867","1.3%","3,512,123","",""
"","ACCOLADE INC","NOTE 0.500% 4/0","00437EAB8","59,134","1.2%","","92,624,000",""
"","NEVRO CORP","NOTE 2.750% 4/0","64157FAC7","57,724","1.2%","","61,000,000",""
"CMAX","CAREMAX INC","COM CL A","14171W103","57,576","1.2%","15,861,090","",""
"","GUARDANT HEALTH INC","NOTE 11/1","40131MAB5","56,684","1.2%","","89,036,000",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","56,158","1.2%","","57,791,000",""
"COGT","COGENT BIOSCIENCES INC","COM","19240Q201","53,009","1.1%","5,876,805","",""
"LUNG","PULMONX CORP","COM","745848101","51,018","1.1%","3,465,901","",""
"ISEE","IVERIC BIO INC","COM","46583P102","50,159","1.0%","5,214,000","",""
"CNC","CENTENE CORP DEL","COM","15135B101","48,972","1.0%","578,800","",""
"","OAK STR HEALTH INC","NOTE 3/1","67181AAB3","48,551","1.0%","68,000,000","",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","48,153","1.0%","2,627,000","",""
"GKOS","GLAUKOS CORP","COM","377322102","47,215","1.0%","1,039,514","",""
"MOH","MOLINA HEALTHCARE INC","COM","60855R100","46,695","1.0%","167,000","",""
"CYTK","CYTOKINETICS INC","COM NEW","23282W605","45,589","0.9%","1,160,315","",""
"MRUS","MERUS N V","COM","N5749R100","44,961","0.9%","1,985,924","",""
"","DYNAVAX TECHNOLOGIES CORP","NOTE 2.500% 5/1","268158AD4","44,735","0.9%","","30,000,000",""
"","LIVONGO HEALTH INC","NOTE 0.875% 6/0","539183AA1","42,380","0.9%","","50,000,000",""
"EOLS","EVOLUS INC","COM","30052C107","42,140","0.9%","3,632,751","",""
"","1LIFE HEALTHCARE INC","NOTE 3.000% 6/1","68269GAB3","40,222","0.8%","","48,599,000",""
"BKD","BROOKDALE SR LIVING INC","COM","112463104","39,010","0.8%","8,592,461","",""
"","AERIE PHARMACEUTICALS INC","COM","00771V108","35,213","0.7%","4,695,020","",""
"","PTC THERAPEUTICS INC","NOTE 1.500% 9/1","69366JAD3","33,439","0.7%","","32,000,000",""
"EWTX","EDGEWISE THERAPEUTICS INC","COM","28036F105","31,308","0.6%","3,933,137","",""
"HLVX","HILLEVAX INC","COM","43157M102","28,614","0.6%","2,617,948","",""
"PHVS","PHARVARIS N V","COM","N69605108","26,307","0.5%","1,190,343","",""
"","PTC THERAPEUTICS INC","NOTE 3.000% 8/1","69366JAB7","25,518","0.5%","","25,417,000",""
"HZNP","HORIZON THERAPEUTICS PUB L","SHS","G46188101","24,965","0.5%","313,000","",""
"","NOVAVAX INC","NOTE 3.750% 2/0","670002AB0","24,855","0.5%","","25,000,000",""
"OMIC","SINGULAR GENOMICS SYSTEMS IN","COM","82933R100","24,205","0.5%","6,336,330","",""
"WGS","SEMA4 HOLDINGS CORP","COM CL A","81663L101","23,749","0.5%","18,848,488","",""
"BLU.TO","BELLUS HEALTH INC NEW","COM NEW","07987C204","22,851","0.5%","2,473,000","",""
"ORGO","ORGANOGENESIS HLDGS INC","COM","68621F102","21,705","0.4%","4,447,740","",""
"PHR","PHREESIA INC","COM","71944F106","21,436","0.4%","857,115","",""
"SNDX","SYNDAX PHARMACEUTICALS INC","COM","87164F105","21,378","0.4%","1,111,111","",""
"AMED","AMEDISYS INC","COM","023436108","20,919","0.4%","199,000","",""
"TARS","TARSUS PHARMACEUTICALS INC","COM","87650L103","19,334","0.4%","1,324,214","",""
"INSM","INSMED INC","COM PAR $.01","457669307","18,941","0.4%","960,484","",""
"","XERIS BIOPHARMA HOLDINGS INC","NOTE 5.000% 7/1","98422LAA5","17,607","0.4%","","18,000,000",""
"RVMD","REVOLUTION MEDICINES INC","COM","76155X100","17,377","0.4%","891,587","",""
"TOI","THE ONCOLOGY INSTITUTE INC","COM","68236X100","17,118","0.4%","3,383,099","",""
"PCRX","PACIRA BIOSCIENCES INC","COM","695127100","17,024","0.4%","292,000","",""
"ATEC","ALPHATEC HLDGS INC","COM NEW","02081G201","15,830","0.3%","2,420,547","",""
"ANAB","ANAPTYSBIO INC","COM","032724106","15,672","0.3%","772,000","",""
"DALS","DA32 LIFE SCNCE TEC ACQSTN C","CLASS A COM","23312M106","15,504","0.3%","1,600,000","",""
"","HEALTH CATALYST INC","NOTE 2.500% 4/1","42225TAB3","13,452","0.3%","","15,000,000",""
"INZY","INOZYME PHARMA INC","COM","45790W108","12,862","0.3%","2,696,372","",""
"PROF","PROFOUND MED CORP","COM NEW","74319B502","12,494","0.3%","1,713,797","",""
"KZR","KEZAR LIFE SCIENCES INC","COM","49372L100","11,735","0.2%","1,419,000","",""
"LRMR","LARIMAR THERAPEUTICS INC","COM","517125100","11,427","0.2%","5,830,249","",""
"TGTX","TG THERAPEUTICS INC","COM","88322Q108","11,379","0.2%","2,677,500","",""
"ALEC","ALECTOR INC","COM","014442107","10,721","0.2%","1,055,192","",""
"FHTX","FOGHORN THERAPEUTICS INC","COM","344174107","10,574","0.2%","777,525","",""
"EUCR","EUCRATES BIOMEDICAL ACQU COR","SHS","G3141W106","9,900","0.2%","999,999","",""
"SRSA","SARISSA CAPITAL ACQUISITN CO","CL A","G7823W102","9,890","0.2%","999,999","",""
"MTAC","MEDTECH ACQUISITION CORP","COM CL A","58507N105","9,845","0.2%","999,999","",""
"SNRH","SENIOR CONNECT ACQUISITN COR","COM CL A","81723H108","9,840","0.2%","1,000,000","",""
