"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"","GLAUKOS CORP","NOTE 2.750% 6/1","377322AB8","358,786","8.0%","","269,897,000",""
"NUVL","NUVALENT INC","COM","670703107","268,647","6.0%","19,341,024","",""
"VTRS","VIATRIS INC","COM","92556V106","224,930","5.0%","20,673,700","",""
"AHCO","ADAPTHEALTH CORP","COMMON STOCK","00653Q102","186,751","4.2%","11,650,072","",""
"","INVITAE CORP","NOTE 2.000% 9/0","46185LAB9","169,769","3.8%","","206,873,000",""
"NBIX","NEUROCRINE BIOSCIENCES INC","COM","64125C109","155,419","3.5%","1,657,800","",""
"","AERIE PHARMACEUTICALS INC","NOTE 1.500%10/0","00771VAB4","141,877","3.2%","","157,390,000",""
"","ENVISTA HOLDINGS CORPORATION","NOTE 2.375% 6/0","29415FAB0","123,924","2.8%","","52,500,000",""
"CMAX","CAREMAX INC","COM CL A","14171W103","121,813","2.7%","15,861,090","",""
"","NATERA INC","NOTE 2.250% 5/0","632307AB0","120,177","2.7%","","90,638,000",""
"","SAREPTA THERAPEUTICS INC","DBCV 1.500%11/1","803607AB6","116,124","2.6%","88,657,000","",""
"","PACIRA BIOSCIENCES INC","NOTE 0.750% 8/0","695127AF7","100,908","2.3%","","81,600,000",""
"","NUVASIVE INC","NOTE 1.000% 6/0","670704AL9","96,433","2.2%","","96,966,000",""
"LUNG","PULMONX CORP","COM","745848101","91,681","2.0%","3,695,341","",""
"SILK","SILK RD MED INC","COM","82710M100","88,927","2.0%","2,153,712","",""
"ISEE","IVERIC BIO INC","COM","46583P102","82,332","1.8%","4,891,996","",""
"","APELLIS PHARMACEUTICALS INC","NOTE 3.500% 9/1","03753UAB2","81,724","1.8%","","51,885,000",""
"","TABULA RASA HEALTHCARE INC","NOTE 1.750% 2/1","873379AA9","79,740","1.8%","","107,816,000",""
"","INSULET CORP","NOTE 0.375% 9/0","45784PAK7","76,232","1.7%","","57,581,000",""
"","NUVASIVE INC","NOTE 0.375% 3/1","670704AJ4","76,133","1.7%","","80,000,000",""
"","INSMED INC","NOTE 1.750% 1/1","457669AA7","74,929","1.7%","","75,000,000",""
"MIRM","MIRUM PHARMACEUTICALS INC","COM","604749101","72,290","1.6%","3,282,912","",""
"KURA","KURA ONCOLOGY INC","COM","50127T109","71,015","1.6%","4,416,361","",""
"","NEVRO CORP","NOTE 2.750% 4/0","64157FAC7","65,368","1.5%","","61,000,000",""
"ORGO","ORGANOGENESIS HLDGS INC","COM","68621F102","64,441","1.4%","8,456,876","",""
"","INTERCEPT PHARMACEUTICALS IN","NOTE 3.250% 7/0","45845PAA6","52,992","1.2%","","57,791,000",""
